Experiment_ID,Ciment (%),Argile (%),Alumine (%),Silice (%),Chamotte (%),Conductivite thermique (W/m.K),Resistance Mecanique (MPa)
1,15,10,35,20,20,2.6,18.897
2,15,5,45,20,15,0.467,24.658
3,5,10,45,20,20,0.246,25.876
4,15,5,35,30,15,1.019,17.345
5,5,10,35,30,20,0.787,17.987
6,5,5,45,30,15,1.956,22.321
7,15,10,40,20,15,0.557,23.451
8,10,10,45,20,15,0.224,26.768
9,15,10,35,25,15,0.776,19.452
10,10,10,35,30,15,1.678,18.098
11,5,10,45,25,15,0.195,25.788
12,5,10,40,30,15,0.448,21.533
13,15,5,40,20,20,1.765,20.974
14,15,5,35,25,20,0.978,16.653
15,10,5,45,20,20,0.65,23.342
16,5,5,45,25,20,0.228,22.997
17,10,5,35,30,20,2.25,15.653
18,5,5,40,30,20,0.744,19.877
19,10,7.5,40,25,17.5,0.1523,21.786
