Ciment (%),Argile (%),Alumine (%),Silice (%),Chamotte (%),Conductivite thermique (W/m.K),Resistance Mecanique (MPa)
7.42,7.6,43.0,25.61,16.37,0.2,24.4
5.0,7.69,42.99,27.07,17.3,0.2,24.4
6.48,8.68,45.0,22.77,16.96,0.2,24.4
6.11,7.88,43.23,26.38,16.4,0.2,24.4
7.23,7.87,42.97,24.81,17.12,0.2,24.4
6.39,8.35,45.0,22.69,16.95,0.2,24.4
6.54,8.69,43.7,24.37,16.69,0.2,24.4
6.02,7.56,42.9,26.06,17.46,0.2,24.4
6.24,7.99,44.23,24.43,17.12,0.2,24.4
6.11,8.56,42.53,26.02,16.77,0.2,24.4
7.07,7.56,42.52,26.3,16.56,0.2,24.4
6.22,8.16,45.0,23.05,17.09,0.2,24.4
6.43,8.42,42.65,25.02,17.47,0.2,24.4
5.91,8.32,45.0,22.92,16.51,0.2,24.4
5.06,8.46,44.11,25.75,16.62,0.2,24.4
6.18,7.67,42.7,26.06,17.39,0.2,24.4
7.11,7.79,42.97,24.77,17.36,0.2,24.4
5.97,8.59,44.86,23.15,17.42,0.2,24.4
7.18,8.29,43.14,23.89,17.5,0.2,24.4
6.48,7.81,45.0,23.92,16.51,0.2,24.4
5.74,7.63,43.35,26.69,16.59,0.2,24.4
5.63,8.55,43.15,26.21,16.46,0.2,24.4
6.32,8.33,43.01,25.42,16.92,0.2,24.4
6.26,8.23,43.29,25.48,16.73,0.2,24.4
6.9,8.37,42.65,25.05,17.02,0.2,24.4
7.29,8.54,42.83,24.6,16.74,0.2,24.4
5.9,7.62,45.0,24.38,16.9,0.2,24.4
5.76,8.19,43.14,26.09,16.82,0.2,24.4
6.19,7.88,45.0,23.41,17.33,0.2,24.4
6.24,8.66,44.53,23.22,17.35,0.2,24.4
7.2,8.4,43.72,23.7,16.98,0.2,24.4
6.38,8.42,44.44,23.48,17.27,0.2,24.4
6.97,8.7,42.61,24.27,17.45,0.2,24.4
6.5,7.61,45.0,23.5,16.94,0.2,24.4
6.85,7.87,45.0,23.17,16.98,0.2,24.4
6.57,8.74,44.03,23.6,17.05,0.2,24.4
7.49,7.56,43.21,25.28,16.46,0.2,24.4
5.98,8.14,45.0,24.3,16.36,0.2,24.4
6.78,8.25,43.27,24.24,17.47,0.2,24.4
6.69,7.76,43.62,25.25,16.67,0.2,24.4
